uid,C1,C2,C3,C4,C5,C6,C7,C8,CBD,E1,E2,E3,E4,N1,NE1,NE2,NE3,W1,W2,W3
75176,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75215,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
80118,0,0,0,0,0.2,0.4,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0
81043,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
81142,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83131,0,0.045454545454545456,0,0.22727272727272727,0.3181818181818182,0.045454545454545456,0.045454545454545456,0,0.3181818181818182,0,0,0,0,0,0,0,0,0,0,0
84696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
86458,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86461,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
86511,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86563,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
87184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
87335,0,0,0,0,0.75,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88013,0,0.75,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0
88285,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90546,0,0.125,0,0,0,0.5,0,0.125,0.25,0,0,0,0,0,0,0,0,0,0,0
91136,0,0.07317073170731707,0.12195121951219512,0.024390243902439025,0.2682926829268293,0.04878048780487805,0.024390243902439025,0.04878048780487805,0.14634146341463414,0,0,0.07317073170731707,0,0,0,0,0,0,0.17073170731707318,0
94411,0,0,0,0.07142857142857142,0.14285714285714285,0.14285714285714285,0,0.35714285714285715,0.14285714285714285,0.07142857142857142,0,0,0,0,0,0.07142857142857142,0,0,0,0
96222,0,0,0,0,0,0,0.75,0,0,0,0.25,0,0,0,0,0,0,0,0,0
96308,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0
97714,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
