X,Y,OBJECTID,STN_NAME,STN_NO
103.846797845413,1.3404716844511,182,BRADDELL MRT STATION,NS18
103.893121564786,1.38287785814722,183,BUANGKOK MRT STATION,NE15
103.860999155887,1.29321805148932,184,PROMENADE MRT STATION,CC4
103.814982750344,1.32211019298476,185,BOTANIC GARDENS MRT STATION,CC19
103.851461712091,1.2841256105732,186,RAFFLES PLACE MRT STATION,EW14
103.851461712091,1.2841256105732,186,RAFFLES PLACE MRT STATION,NS26
103.796191823862,1.31183479040213,187,HOLLAND VILLAGE MRT STATION,CC21
103.839126497584,1.28140497813013,188,OUTRAM PARK MRT STATION,EW16
103.809748636836,1.27075321145858,189,TELOK BLANGAH MRT STATION,CC28
103.848302806193,1.28228953619225,190,TELOK AYER MRT STATION,DT18
103.837985299633,1.31232009955564,191,NEWTON MRT STATION,NS21
