,uid,loc_clus_id
235,3641874,7
236,50504770,6
237,14069703,7
238,42846085,6
239,10803164,7
240,43417693,6
241,7334317,6
242,95619516,11
243,2535381,6
244,5186754,6
245,6305894,7
246,9754596,7
247,52671063,6
248,80069516,6
249,19511980,6
250,6803460,6
251,6831036,7
252,107698,6
253,25015484,6
254,6651684,7
255,18477816,7
256,5185248,7
257,8719618,7
258,30599435,7
259,43590376,7
260,3568365,6
261,974939,6
262,5053927,6
263,2207593,7
264,5934324,5
265,234324,7
266,52945906,7
267,38222938,4
268,231366,7
269,7280728,7
270,52814316,7
271,137415288,7
272,7812015,5
273,296778,5
274,6774978,7
275,367279,7
276,550790,7
277,130201374,7
278,5421359,5
279,37923244,7
280,1094249,5
281,65738859,5
282,304258,5
283,5247203,5
284,69312577,7
285,106157,5
286,14140903,5
287,51470687,7
288,55390456,7
289,9038271,6
290,7961235,6
291,3227072,6
292,5562393,6
293,367594,7
294,920127,5
295,1057253,7
296,8919978,7
297,54364391,7
298,558199,5
299,1123120,12
300,12719057,5
301,3570264,7
302,1562550,4
303,5172446,5
304,101347231,7
305,3785422,12
306,259462,7
307,49648657,7
308,396130,7
309,2497603,5
310,113594103,7
311,3117936,5
312,3548344,5
313,538393,7
314,155705,7
315,284951,7
316,97897327,5
317,2416267,7
318,1144377,7
319,23004734,7
320,50711118,5
321,102126017,7
322,3345354,7
323,40415054,7
324,24969130,6
325,46819999,7
326,7423463,6
327,106085,7
328,15214048,6
329,748739,7
330,397210,5
331,528290,7
332,45371521,7
333,16118457,7
334,3640993,7
335,308951,7
336,5361466,6
337,7372460,7
338,4819520,7
339,462520,6
340,64683986,7
341,5037662,7
342,2622255,7
343,3243391,6
344,19463952,6
345,325759,7
346,4976111,6
347,4451907,7
348,3866020,6
349,157630,7
350,247649,6
351,787778,7
352,178537,7
353,10853970,7
354,2934909,7
355,158347418,6
356,14028213,18
357,331130,7
358,109897,7
359,4196205,7
360,90713032,6
361,106069,6
362,5059831,7
363,25955346,11
364,2167211,7
365,5333288,6
366,4574624,7
367,76582857,7
